title,sides,dates
Allianz- und Garantievertrag von St. Petersburg,"                   Dänemark, Russland",1746 VI 10
Konvention von St. Petersburg,"                   Generalstaaten, Russland",1747 XI 19
Beitritt von St. Petersburg zum Allianzvertrag 1756 V 1,                   Russland,1756 XII 31
Beitritt zur Konvention zur Umsetzung des Westfälischen Friedens,                   Russland,1757 XI 5
Erklärung zur Sicherheit der Ostseeschifffahrt,"                   Russland, Schweden",1758 IV 26
Erneuerung der Defensivallianz von St. Petersburg,"                   Russland, Schweden",1758 VI 24
Konvention zur Sicherheit der Ostseeschiffahrt,"                   Russland, Schweden",1759 III 9
Beitritt von St. Petersburg zur Allianz von Versailles 1758 XII 30,                   Russland,1760 III 7
Konvention über Dänemarks Beitritt zur Erklärung zur Sicherheit der Ostseeschifffahrt,"                   Dänemark, Russland, Schweden",1760 III 17
Defensivallianz von St. Petersburg,"                   Dänemark, Russland",1765 II 28_III 11
Ewiger Friede,"                   Polen, Russland",1768 II 24
Allianz von Kopenhagen,"                   Dänemark, Russland",1769 XII 13
Digitaler Kartensatz zum Teilungsvertrag von St. Petersburg,"                   Preußen, Russland",1772 VII 25_VIII 5
Allianz von St. Petersburg,"                   Dänemark, Russland",1773 VIII 1_12
Digitaler Kartensatz zum Friedensvertrag von Kütschük-Kainardschi,"                   Osmanisches Reich, Russland",1774 VII 10/21
Friedensvertrag von Kütschük Kainardschi / Kaynarca (Beta-Version),"                   Osmanisches Reich, Russland",1774 VII 21
Friedensvertrag von Aynalikavak (Beta-Version),"                   Osmanisches Reich, Russland",1779 III 21
Garantieerklärung für die Konvention von Teschen zwischen Österreich und Preussen,"                   Frankreich, Russland",1779 V 13
Konvention über die bewaffnete Neutralität,"                   Dänemark, Russland",1780 VI 28_VII 9
Konvention über die bewaffnete Neutralität,"                   Russland, Schweden",1780 VII 21_VIII 1
Schiffahrtskonvention von St. Petersburg,"                   Portugal, Russland",1782 VII 13
Freundschafts- und Handelsvertrag von St. Petersburg,"                   Dänemark, Russland",1782 X 8_19
Friedensvertrag von Versailles,"                   Frankreich, Großbritannien, Reich, Russland",1783 IX 3
Friedensvertrag von Konstantinopel (Beta-Version),"                   Osmanisches Reich, Russland",1784 I 08 / 1198 AH
