ID,Label,Edits
1192,BD2412,2
1193,Fiachra10003,2
1194,Eubot,1
1195,AnomieBOT,1
1196,Modernist,28
1197,Singingthebleu,14
1198,Chreliot,13
1199,Edzerne,10
1200,Ssalb1,10
1201,2601:14D:8603:2B87:80D6:2A9B:31D2:4165,6
1202,68.49.59.72,6
1203,Sgly76,6
1204,Johnbod,5
1205,68.33.166.53,5
1206,CconstanceR,5
1207,45.72.136.201,4
1208,2601:14D:8603:2B87:41E7:513:6470:A9B1,3
1209,2601:14D:8603:2B87:D508:E7BC:9CB5:BF6C,3
1210,PrimeBOT,2
1211,Megcitement,2
1212,172.145.160.37,2
1213,129.210.115.4,2
1214,96.224.241.15,2
1215,199.119.115.194,2
1216,Evrik,39
1217,DavidWBrooks,39
1218,75.163.44.105,14
1219,WPK~enwiki,13
1220,Dbachmann,13
1221,75.163.43.68,12
1222,Paul Barlow,11
1223,Quaeler,10
1224,Klemen Kocjancic,10
1225,71.217.249.24,10
1226,Kintetsubuffalo,9
1227,71.217.253.182,9
1228,AnomieBOT,9
1229,FrescoBot,8
1230,71.217.249.239,8
1231,75.174.249.158,7
1232,71.35.85.117,7
1233,71.35.85.66,6
1234,Arthur Warrington Thomas,6
1235,71.217.255.161,6
1236,JohnJHenderson,581
1237,72.224.186.142,23
1238,Ken Gallager,18
1239,Geometry guy,16
1240,Jack Bethune,15
1241,73.62.164.175,10
1242,Moni3,8
1243,Rmhermen,7
1244,69.161.63.23,6
1245,BrokenSegue,5
1246,Thakinthakin,4
1247,Modernist,4
1248,Maralia,3
1249,75.73.215.13,3
1250,Calamitybrook,2
1251,Tabletop,2
1252,172.212.212.225,2
1253,117.205.148.24,2
1254,LilHelpa,2
1255,SmackBot,2
1256,209.254.12.73,57
1257,Gujuguy,40
1258,Kevin j,39
1259,Galatz,39
1260,Rangerkid51,33
1261,TMC1982,26
1262,Jayemd,25
1263,65.82.131.225,24
1264,Croctotheface,23
1265,Fhb3,18
1266,Oknazevad,18
1267,UnqstnableTruth,17
1268,Portillo,16
1269,100.2.29.254,15
1270,Nikki311,14
1271,Bjanderson94,13
1272,I9513,12
1273,PSVita1,11
1274,Aaru Bui,11
1275,207.74.196.20,11
1276,Dilbaggg,241
1277,Jayemd,217
1278,ZSJUSA,161
1279,123.211.138.58,152
1280,RealDealBillMcNeal,147
1281,Rebelrick123,99
1282,UnqstnableTruth,84
1283,96.250.54.181,67
1284,MisterJay123,65
1285,Marked Man 808,61
1286,SouthAsianGuy891,47
1287,68.196.72.173,41
1288,*Treker,38
1289,ClueBot NG,35
1290,NiciVampireHeart,35
1291,68.196.71.229,34
1292,76.184.164.38,34
1293,Galatz,34
1294,Mtavarez727,33
1295,82.10.48.63,33
1296,FitzColinGerald,53
1297,Midnightdreary,8
1298,71.177.221.129,7
1299,24.8.68.57,7
1300,Rjensen,6
1301,DocWatson42,4
1302,24.95.110.93,4
1303,128.180.109.108,3
1304,Kafkaesk1984,3
1305,Everyking,3
1306,24.8.66.74,3
1307,67.174.100.5,2
1308,71.202.134.13,2
1309,TexasAndroid,2
1310,Infrogmation,2
1311,Hmains,2
1312,96.250.165.75,2
1313,64.134.66.163,2
1314,Alaibot,2
1315,Srich32977,2
